dataset,error,expected_docs,id,input_cost_usd,matched,model,num_returned,output_cost_usd,query,query_type,returned_docs,returned_scores,top_k,total_cost_usd
ducks,,['duck_technology.md'],f_easy_bubble_shield,0.00021625,True,gemini-3.1-flash-lite,3,8.55e-05,What is the Bubble Shield and how does it dissipate enemy fire?,factual,"['duck_technology.md', 'isoprene_planetary_survey.md', 'duck_wars_extended_history.md']","[0.793, 0.774, 0.7645]",3,0.00030175
ducks,,['duck_technology.md'],f_easy_hydro_thrusters,0.000176,True,gemini-3.1-flash-lite,3,6.9e-05,How do Duck starships generate thrust and what is the visible signature of their drives?,factual,"['duck_technology.md', 'duck_technology.md', 'species_compendium.md']","[0.8441, 0.8039, 0.7894]",3,0.000245
ducks,,['duck_technology.md'],f_easy_squeak_drive,0.00017625,True,gemini-3.1-flash-lite,3,9.749999999999998e-05,What is the Squeak Drive and how does it give Duck ships their maneuverability?,factual,"['duck_technology.md', 'duck_technology.md', 'species_compendium.md']","[0.8479, 0.8001, 0.799]",3,0.00027375
ducks,,['duck_technology.md'],f_easy_wave_generator,0.00017825,True,gemini-3.1-flash-lite,3,3.0000000000000004e-05,What is the Wave Generator and what does it do?,factual,"['duck_technology.md', 'galactic_gazetteer.md', 'galactic_gazetteer.md']","[0.8192, 0.7678, 0.7472]",3,0.00020825
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_drainer_weapon,0.000201,True,gemini-3.1-flash-lite,3,9.15e-05,What was the Spong Drainer weapon and what threat did it pose to Duck hulls?,factual,"['duck_technology.md', 'the_duck_wars.md', 'duck_wars_extended_history.md']","[0.8094, 0.8084, 0.7959]",3,0.0002925
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_loofah_outcome,0.00026925,True,gemini-3.1-flash-lite,3,0.0002025,What happened to the Spong fleet at the Battle of the Loofah Line?,factual,"['duck_wars_extended_history.md', 'duck_wars_extended_history.md', 'the_duck_wars.md']","[0.8435, 0.8114, 0.8108]",3,0.00047175
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_admiral_suds,0.000263,True,gemini-3.1-flash-lite,3,0.0003375,Who was Admiral Suds and what was his role in the war?,factual,"['the_duck_wars.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.804, 0.7937, 0.7871]",3,0.0006005
ducks,,['galactic_gazetteer.md'],f_easy_soapstone,0.00019075,True,gemini-3.1-flash-lite,3,4.5e-05,What is the planet Soapstone and what is its atmosphere like?,factual,"['galactic_gazetteer.md', 'galactic_gazetteer.md', 'galactic_gazetteer.md']","[0.8377, 0.8375, 0.8372]",3,0.00023575
ducks,,['galactic_gazetteer.md'],f_easy_whirlpoolia,0.00026125,True,gemini-3.1-flash-lite,3,7.8e-05,What is unusual about the planet Whirlpoolia and where is the Federation outpost there?,factual,"['galactic_gazetteer.md', 'galactic_gazetteer.md', 'galactic_gazetteer.md']","[0.8617, 0.8284, 0.8271]",3,0.00033925
ducks,,['galactic_gazetteer.md'],f_easy_bristle,0.000218,True,gemini-3.1-flash-lite,3,0.00011099999999999999,What is unusual about the flora on the planet Bristle?,factual,"['species_compendium.md', 'galactic_gazetteer.md', 'galactic_gazetteer.md']","[0.8547, 0.8394, 0.8289]",3,0.000329
