dataset,error,expected_docs,id,input_cost_usd,matched,model,num_returned,output_cost_usd,query,query_type,returned_docs,returned_scores,top_k,total_cost_usd
ducks,,['duck_technology.md'],f_easy_bubble_shield,0.000312,True,gemini-3.1-flash-lite,3,0.0001095,What is the Bubble Shield and how does it dissipate enemy fire?,factual,"['duck_technology.md', 'isoprene_planetary_survey.md', 'the_duck_wars.md']","[0.785, 0.7683, 0.759]",3,0.0004215
ducks,,['duck_technology.md'],f_easy_hydro_thrusters,0.000414,True,gemini-3.1-flash-lite,3,7.049999999999999e-05,How do Duck starships generate thrust and what is the visible signature of their drives?,factual,"['duck_technology.md', 'the_duck_wars.md', 'species_compendium.md']","[0.8382, 0.7804, 0.7704]",3,0.00048449999999999996
ducks,,['duck_technology.md'],f_easy_squeak_drive,0.00030525,True,gemini-3.1-flash-lite,3,0.0001185,What is the Squeak Drive and how does it give Duck ships their maneuverability?,factual,"['duck_technology.md', 'the_duck_wars.md', 'quack_federation_governance.md']","[0.8412, 0.7919, 0.7695]",3,0.00042375000000000003
ducks,,['duck_technology.md'],f_easy_wave_generator,0.00044075,True,gemini-3.1-flash-lite,3,0.0001215,What is the Wave Generator and what does it do?,factual,"['duck_technology.md', 'duck_wars_extended_history.md', 'the_duck_wars.md']","[0.7551, 0.7404, 0.7298]",3,0.00056225
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_drainer_weapon,0.0004585,True,gemini-3.1-flash-lite,3,9.449999999999999e-05,What was the Spong Drainer weapon and what threat did it pose to Duck hulls?,factual,"['the_duck_wars.md', 'duck_technology.md', 'duck_wars_extended_history.md']","[0.8084, 0.7853, 0.7634]",3,0.000553
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_loofah_outcome,0.0006335,True,gemini-3.1-flash-lite,3,0.00016199999999999998,What happened to the Spong fleet at the Battle of the Loofah Line?,factual,"['duck_wars_extended_history.md', 'the_duck_wars.md', 'duck_wars_extended_history.md']","[0.8161, 0.8108, 0.7948]",3,0.0007955
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_admiral_suds,0.00038025,True,gemini-3.1-flash-lite,3,0.000231,Who was Admiral Suds and what was his role in the war?,factual,"['the_duck_wars.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.804, 0.7588, 0.7586]",3,0.00061125
ducks,,['galactic_gazetteer.md'],f_easy_soapstone,0.00081825,True,gemini-3.1-flash-lite,3,8.55e-05,What is the planet Soapstone and what is its atmosphere like?,factual,"['galactic_gazetteer.md', 'galactic_gazetteer.md', 'isoprene_planetary_survey.md']","[0.8173, 0.8115, 0.8099]",3,0.0009037499999999999
ducks,,['galactic_gazetteer.md'],f_easy_whirlpoolia,0.00081925,True,gemini-3.1-flash-lite,3,6.6e-05,What is unusual about the planet Whirlpoolia and where is the Federation outpost there?,factual,"['galactic_gazetteer.md', 'galactic_gazetteer.md', 'isoprene_planetary_survey.md']","[0.814, 0.8058, 0.7852]",3,0.00088525
ducks,,['galactic_gazetteer.md'],f_easy_bristle,0.00085,True,gemini-3.1-flash-lite,3,6.000000000000001e-05,What is unusual about the flora on the planet Bristle?,factual,"['galactic_gazetteer.md', 'galactic_gazetteer.md', 'isoprene_planetary_survey.md']","[0.7876, 0.7793, 0.7776]",3,0.00091
ducks,,['galactic_gazetteer.md'],f_easy_latheria,0.0006765,True,gemini-3.1-flash-lite,3,0.000135,What kind of world is Latheria and why is it important to the Quack-Federa-tion?,factual,"['galactic_gazetteer.md', 'quack_federation_governance.md', 'galactic_gazetteer.md']","[0.8007, 0.7931, 0.7903]",3,0.0008115
