dataset,error,expected_docs,id,input_cost_usd,matched,model,num_returned,output_cost_usd,query,query_type,returned_docs,returned_scores,top_k,total_cost_usd
ducks,,['duck_technology.md'],f_easy_bubble_shield,7.7e-05,True,gemini-3.1-flash-lite,1,0.00010499999999999999,What is the Bubble Shield and how does it dissipate enemy fire?,factual,['duck_technology.md'],[-0.2784],3,0.00018199999999999998
ducks,,['duck_technology.md'],f_easy_hydro_thrusters,7.8e-05,True,gemini-3.1-flash-lite,1,6.9e-05,How do Duck starships generate thrust and what is the visible signature of their drives?,factual,['duck_technology.md'],[1.0004],3,0.000147
ducks,,['duck_technology.md'],f_easy_squeak_drive,7.825e-05,True,gemini-3.1-flash-lite,1,8.55e-05,What is the Squeak Drive and how does it give Duck ships their maneuverability?,factual,['duck_technology.md'],[0.6891],3,0.00016375
ducks,,['duck_technology.md'],f_easy_wave_generator,2.875e-05,True,gemini-3.1-flash-lite,1,3.0000000000000004e-05,What is the Wave Generator and what does it do?,factual,['duck_technology.md'],[-0.2681],3,5.8750000000000005e-05
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_drainer_weapon,0.0001815,True,gemini-3.1-flash-lite,2,8.25e-05,What was the Spong Drainer weapon and what threat did it pose to Duck hulls?,factual,"['the_duck_wars.md', 'duck_wars_extended_history.md']","[0.6248, 0.5553]",3,0.000264
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_loofah_outcome,0.000264,True,gemini-3.1-flash-lite,3,0.000204,What happened to the Spong fleet at the Battle of the Loofah Line?,factual,"['duck_wars_extended_history.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[1.5417, 0.7704, 0.6271]",3,0.000468
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_admiral_suds,0.000177,True,gemini-3.1-flash-lite,2,0.0002175,Who was Admiral Suds and what was his role in the war?,factual,"['duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[-0.4484, -0.4584]",3,0.0003945
ducks,,['galactic_gazetteer.md'],f_easy_soapstone,6.35e-05,True,gemini-3.1-flash-lite,1,4.5e-05,What is the planet Soapstone and what is its atmosphere like?,factual,['galactic_gazetteer.md'],[0.3327],3,0.00010850000000000001
ducks,,['galactic_gazetteer.md'],f_easy_whirlpoolia,0.00018575,True,gemini-3.1-flash-lite,2,7.8e-05,What is unusual about the planet Whirlpoolia and where is the Federation outpost there?,factual,"['galactic_gazetteer.md', 'isoprene_planetary_survey.md']","[0.1114, -0.2001]",3,0.00026375
ducks,,['galactic_gazetteer.md'],f_easy_bristle,0.0001785,True,gemini-3.1-flash-lite,2,0.0001815,What is unusual about the flora on the planet Bristle?,factual,"['species_compendium.md', 'galactic_gazetteer.md']","[0.3345, -0.3882]",3,0.00035999999999999997
ducks,,['galactic_gazetteer.md'],f_easy_latheria,0.00018075,True,gemini-3.1-flash-lite,2,0.0001215,What kind of world is Latheria and why is it important to the Quack-Federa-tion?,factual,"['galactic_gazetteer.md', 'quack_federation_governance.md']","[0.6046, -0.0726]",3,0.00030225
ducks,,['quack_federation_governance.md'],f_easy_currency,5.85e-05,True,gemini-3.1-flash-lite,1,2.7e-05,What is the basic currency of the Quack-Federa-tion and how is it subdivided?,factual,['quack_federation_governance.md'],[0.4309],3,8.549999999999999e-05
ducks,,['quack_federation_governance.md'],f_easy_council_size,0.0001625,True,gemini-3.1-flash-lite,2,1.8e-05,How many seats does the Tide Council have in total?,factual,"['quack_federation_governance.md', 'duck_wars_extended_history.md']","[0.8053, -0.4876]",3,0.0001805
ducks,,['quack_federation_governance.md'],f_easy_five_departments,0.000153,True,gemini-3.1-flash-lite,2,9.15e-05,What are the five Departments that the Hydromarch presides over?,factual,"['quack_federation_governance.md', 'quack_federation_governance.md']","[1.0812, 0.4194]",3,0.00024450000000000003
ducks,,['species_compendium.md'],f_easy_duck_lifespan,0.00025725,True,gemini-3.1-flash-lite,3,2.1e-05,What is the average lifespan of a Duck in standard cycles?,factual,"['species_compendium.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.5674, -0.408, -0.4219]",3,0.00027825
ducks,,['species_compendium.md'],f_easy_echo_folk_comms,8.875e-05,True,gemini-3.1-flash-lite,1,4.0499999999999995e-05,How do the Echo-Folk communicate and where do they live?,factual,['species_compendium.md'],[0.0918],3,0.00012925
ducks,,['isoprene_planetary_survey.md'],f_easy_splashport_pop,9.475e-05,True,gemini-3.1-flash-lite,1,4.8e-05,What is the population of Splashport and where is the city located?,factual,['isoprene_planetary_survey.md'],[2.3777],3,0.00014275
ducks,,['isoprene_planetary_survey.md'],f_easy_polymer_share,0.00017625,True,gemini-3.1-flash-lite,2,2.7e-05,What share of Isoprene's economy is accounted for by polymer extraction and processing?,factual,"['isoprene_planetary_survey.md', 'quack_federation_governance.md']","[0.398, -0.3584]",3,0.00020325
ducks,,['isoprene_planetary_survey.md'],f_easy_buoyant_capacity,0.0001665,True,gemini-3.1-flash-lite,2,3.0000000000000004e-05,What is the sustained capital-vessel construction capacity of the Buoyant Yards per cycle?,factual,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.4416, -0.3257]",3,0.0001965
ducks,,['isoprene_planetary_survey.md'],f_easy_way_of_tides_pct,0.00016675,True,gemini-3.1-flash-lite,2,3.45e-05,What percentage of Isoprene's population practices the Way of the Tides?,factual,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[1.6398, -0.2827]",3,0.00020124999999999999
ducks,,['duck_wars_extended_history.md'],f_med_battlebill,,False,,0,,What was the Mark-VII Battlebill and what wartime problem did it solve?,factual,[],[],3,
ducks,,['duck_wars_extended_history.md'],f_med_loofah_accord_year,0.000257,True,gemini-3.1-flash-lite,3,2.7e-05,In what standard cycle was the Loofah Accord signed?,factual,"['duck_wars_extended_history.md', 'isoprene_planetary_survey.md', 'duck_wars_extended_history.md']","[0.6387, -0.0622, -0.079]",3,0.000284
ducks,,['duck_wars_extended_history.md'],f_med_long_withdrawal,0.000153,True,gemini-3.1-flash-lite,2,0.0001695,What was the Long Withdrawal and which worlds anchored the resulting defensive arc?,factual,"['duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.6325, 0.5833]",3,0.0003225
ducks,,['isoprene_planetary_survey.md'],f_med_reedwater_act,8.7e-05,True,gemini-3.1-flash-lite,1,5.85e-05,"What does the Reedwater Conservation Act protect, and roughly how many harvesting licenses are issued per cycle?",factual,['isoprene_planetary_survey.md'],[0.8848],3,0.0001455
ducks,,['isoprene_planetary_survey.md'],f_med_stillwater_protocol,8.85e-05,True,gemini-3.1-flash-lite,1,6.3e-05,What is the Stillwater Protocol and what is the designated primary continuity-of-government site?,factual,['isoprene_planetary_survey.md'],[0.4973],3,0.0001515
ducks,,['isoprene_planetary_survey.md'],f_med_trans_continental_canal,,False,,0,,How long is the Trans-Continental Canal and what does it connect?,factual,[],[],3,
ducks,,['quack_federation_governance.md'],f_med_first_paddler,9.675e-05,True,gemini-3.1-flash-lite,1,3.7500000000000003e-05,Who currently holds the office of First Paddler and which Paddle is she from?,factual,['quack_federation_governance.md'],[-0.2709],3,0.00013424999999999998
ducks,,['quack_federation_governance.md'],f_med_hydromarch_term,7.65e-05,True,gemini-3.1-flash-lite,1,2.7e-05,"How long is the Hydromarch's term of office, and may they be reappointed?",factual,['quack_federation_governance.md'],[1.0663],3,0.0001035
ducks,,['quack_federation_governance.md'],f_med_ripple_protocol,7.525e-05,True,gemini-3.1-flash-lite,1,6.6e-05,What is the Ripple Protocol and how many readings does a Council proposal require?,factual,['quack_federation_governance.md'],[1.9426],3,0.00014125
ducks,,['isoprene_planetary_survey.md'],f_med_reedwater_league,0.00018475,True,gemini-3.1-flash-lite,2,8.7e-05,What was the Reedwater League and which modern Federation institution traces direct descent from its Council of Reedmasters?,factual,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[1.9172, 0.4638]",3,0.00027174999999999996
ducks,,['species_compendium.md'],f_med_mistral_wisps,9.175e-05,True,gemini-3.1-flash-lite,1,0.000132,What are Mistral Wisps and how does their emergent cognition arise and persist?,factual,['species_compendium.md'],[0.3739],3,0.00022375
ducks,,['species_compendium.md'],f_med_precursor_tier,9.3e-05,True,gemini-3.1-flash-lite,1,4.9500000000000004e-05,How does the Office of Xenology classify Precursor artifacts and what must be done when one is recovered?,factual,['species_compendium.md'],[0.4341],3,0.0001425
ducks,,['duck_wars_extended_history.md'],f_med_pondreader_framework,0.0001725,True,gemini-3.1-flash-lite,2,9e-05,What did Doctora-Hen Pondreader argue was the true nature of Spong chemical signaling?,factual,"['duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[1.6082, -0.3888]",3,0.0002625
ducks,,['duck_wars_extended_history.md'],f_med_first_splish_splash,0.0002585,True,gemini-3.1-flash-lite,3,9e-05,"When did open war begin between the Federation and the Spong, and what was lost in the initial engagement?",factual,"['duck_wars_extended_history.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.2894, 0.2692, -0.0287]",3,0.0003485
ducks,,['isoprene_planetary_survey.md'],f_med_glassine_uni_year,0.00017725,True,gemini-3.1-flash-lite,2,2.7e-05,In what cycle was the University of Glassine founded?,factual,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[-0.2251, -0.3167]",3,0.00020425
ducks,,['galactic_gazetteer.md'],f_hard_squeak_minor_vs_others,9.375e-05,True,gemini-3.1-flash-lite,1,2.7e-05,Why does any movement on the surface of Squeak Minor generate high-pitched squeaking sounds?,factual,['galactic_gazetteer.md'],[-0.0167],3,0.00012075000000000001
ducks,,['duck_technology.md'],f_hard_bubble_disambiguation,7.85e-05,True,gemini-3.1-flash-lite,1,6e-06,Which Federation defensive technology works by absorbing energy in a layered field that 'pops' on impact?,factual,['duck_technology.md'],[-0.4126],3,8.45e-05
ducks,,['isoprene_planetary_survey.md'],f_hard_hardshell_squeakish,0.0001005,True,gemini-3.1-flash-lite,1,1.35e-05,Which Paddle dialect is so divergent that some linguists classify it as a separate language?,factual,['isoprene_planetary_survey.md'],[0.0156],3,0.000114
ducks,,['species_compendium.md'],f_hard_bristlers_reclassified,0.000179,True,gemini-3.1-flash-lite,2,3.9e-05,"In what cycle were the Bristlers of Bristle reclassified as potentially sapient, and who led the work?",factual,"['species_compendium.md', 'duck_wars_extended_history.md']","[1.8261, -0.321]",3,0.00021799999999999999
ducks,,['quack_federation_governance.md'],f_hard_treaty_long_hum,5.775e-05,True,gemini-3.1-flash-lite,1,8.4e-05,What is the Treaty of the Long Hum and what unique citizenship arrangement did it establish?,factual,['quack_federation_governance.md'],[0.2466],3,0.00014175
ducks,,['duck_wars_extended_history.md'],f_hard_first_year_losses,0.000264,True,gemini-3.1-flash-lite,3,7.500000000000001e-06,Approximately how many capital vessels did the Federation lose in the first cycle of the Great Duck Wars?,factual,"['duck_wars_extended_history.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.3187, -0.2389, -0.3215]",3,0.00027150000000000004
ducks,,['duck_wars_extended_history.md'],f_hard_glossy_feather,0.00017825,True,gemini-3.1-flash-lite,2,5.1e-05,"Which survey vessel produced the first hint that the Sudsy Reaches contained intelligence, and how long did the report sit in the archive?",factual,"['duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[1.4266, 0.1618]",3,0.00022925
ducks,,"['quack_federation_governance.md', 'isoprene_planetary_survey.md']",f_hard_council_platform,9.475e-05,True,gemini-3.1-flash-lite,1,3.0000000000000004e-05,Where does the Tide Council physically convene?,factual,['quack_federation_governance.md'],[0.3207],3,0.00012475
ducks,,['isoprene_planetary_survey.md'],f_hard_squeak_grass,8.45e-05,True,gemini-3.1-flash-lite,1,3.45e-05,Which species of Isoprene grass produces audible high-frequency tones when disturbed by wind?,factual,['isoprene_planetary_survey.md'],[0.5954],3,0.00011899999999999999
ducks,,['isoprene_planetary_survey.md'],f_hard_golden_ripple,7.45e-05,True,gemini-3.1-flash-lite,1,6.000000000000001e-05,What is the Golden Ripple and what role does it play in Squeakish architecture?,factual,['isoprene_planetary_survey.md'],[1.2074],3,0.00013450000000000002
ducks,,"['isoprene_planetary_survey.md', 'duck_wars_extended_history.md']",m_waddles_birth_and_role,0.0002655,False,gemini-3.1-flash-lite,3,0.0001665,"Where was Commodore Waddles born, and what was his decisive contribution to the Battle of the Loofah Line?",multi_hop,"['duck_wars_extended_history.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.6409, -0.3137, -0.3977]",3,0.000432
ducks,,"['species_compendium.md', 'duck_wars_extended_history.md']",m_pondreader_and_spong_biology,0.00025575,True,gemini-3.1-flash-lite,3,0.0001425,"How does Spong chemical signaling actually work biologically, and how did Pondreader reinterpret what it meant?",multi_hop,"['duck_wars_extended_history.md', 'species_compendium.md', 'duck_wars_extended_history.md']","[0.8575, 0.099, -0.4616]",3,0.00039825
ducks,,"['isoprene_planetary_survey.md', 'quack_federation_governance.md']",m_polymer_industry_and_compact,0.00022975,False,gemini-3.1-flash-lite,3,9.6e-05,"How large is Isoprene's polymer industry as a share of its economy, and what compact regulates harvesting to ensure forest sustainability?",multi_hop,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[1.1834, 0.9454, -0.1978]",3,0.00032575
ducks,,"['quack_federation_governance.md', 'duck_wars_extended_history.md']",m_wave_rider_post_war,0.000188,False,gemini-3.1-flash-lite,2,0.0001305,"What political status do the Wave-Rider city-states hold within the Federation, and what diplomatic role do they play between the Federation and the Spong?",multi_hop,"['duck_wars_extended_history.md', 'isoprene_planetary_survey.md']","[0.0467, -0.2132]",3,0.0003185
